COMMENTS	SOURCE
I dont know enough what goes under the hood in NumPy, but still at least for me it is the top priority 	Complete
As NumPy is a library that is widely used both professionally and academically, it is certain to guarantee high performance and reliability. (Original in Portuguese: Como NumPy é uma biblioteca de vasto uso tanto em âmbito profissional como acadêmico, é certo garantir alta performance e confiabilidade.)	Complete
Since NumPy operations are at the core of so many programs, any performance improvement will have a significant impact on many applications. NumPy is by no means slow, but optimizing its performance would be nice.	Complete
Give `numpy.random.Generator.choice` an output parameter	Complete
- slow on small arrays - better integration with pypy - why not a jit / or integration of numba - more transparent access to GPU (even though it's quite good already)	Complete
GPU support	Complete
Parallel support with numba, vectorization of functions and speed improvements, possible implementation with something like arrow	Complete
many functionalities can be sped up using numba, it would be good if this gap could be closed	Complete
by improving user-base interaction by continuous updates of features by emphasizing on key learning objectives  by working on tutorials 	Complete
Proper and dynamic support for vector extensions across the entire library, i.e. current versions of AVX etc. numpy should auto-detect the capabilities of CPUs and choose the fastest option for every operation.	Complete
Many projects are addressing performance issues around data manipulation. As a core component, maintaining performance is important.	Complete
More parallelization and GPU support	Complete
Mostly I think Numpy is very performant - the changes to the fft backends are greatly appreciated. I just think that maintaining this performance would be good - making use of multi-threaded operations would be good, but I know this is outside of scope for NumPy generally and I use other libraries with a NumPy-like API when I need this.	Complete
Some operations take too long time.	Complete
No particular place - I just think that as the existing np code is already quite well documented, etc. Performance is the most important aspect of a scientific/numerical library.	Complete
Open to this improving however possible.	Complete
Facilitate the use of multiple threads or processes for operations that require high computing power. (Original in Spanish: Facilitar el uso de múltiples hilos o procesos para las operaciones que requieran alto poder de computo.)	Complete
It should always be a priority. It is for me what makes numpy great. It is fast!	Complete
I want the ability to use the GPU.	Complete
As manually added, I think GPU-processing mit help. I‘m in the field of image algorithm development so mostly work on image data (image sequences as I‘m working on digital cinema technology) Performance isn‘t that bad btw. just the thing that can‘t be improved to much.	Complete
I actually select Others & Performance. As I'm using NumPy extensively for image processing, being able to directly address the GPU without requiring CuPy, for example, is extremely important if not critical.	Complete
I believe that the numba project is very promising, and I would really love to see better cooperation between numba and numpy.  	Complete
Make it easier to use numba, dask, cython	Complete
You guys are doing a great job, more connection to c++ And other high performance languages by promoting and explaining functionality in the documentation and media outlets, understanding and learning deeper abstractions by using numpy	Complete
NumPy to be competitive performance with compiler-based tools that encourage less elegant programming styles	Complete
